dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,last_updated
30445,-0.005,12.593,"Ayora, Angel",0.276,-0.064,0.568,-0.027,0.753,2026-03-30 17:23:01 UTC
13872,0.012,4.614,"Bradley, Keegan",0.14,0.274,0.218,0.067,0.699,2026-03-30 17:23:01 UTC
28984,-0.045,15.838,"Puig, David",-0.103,-0.088,0.528,0.354,0.691,2026-03-30 17:23:01 UTC
28309,-0.017,13.684,"Coody, Pierceson",0.272,-0.164,0.575,0.008,0.691,2026-03-30 17:23:01 UTC
23838,-0.059,14.49,"Hojgaard, Rasmus",0.149,-0.074,0.194,0.419,0.689,2026-03-30 17:23:01 UTC
17606,0.05,1.922,"Berger, Daniel",0.625,-0.221,0.374,-0.093,0.685,2026-03-30 17:23:01 UTC
23505,0.07,-3.666,"McGreevy, Max",0.369,-0.012,0.441,-0.131,0.667,2026-03-30 17:23:01 UTC
18474,0.009,3.479,"Smalley, Alex",0.302,0.071,0.218,0.074,0.664,2026-03-30 17:23:01 UTC
13126,0.025,-5.912,"Taylor, Nick",0.377,0.292,-0.125,0.078,0.622,2026-03-30 17:23:01 UTC
14796,-0.023,5.378,"Hatton, Tyrrell",0.461,-0.003,0.204,-0.044,0.618,2026-03-30 17:23:01 UTC
28159,-0.002,2.197,"Meissner, Mac",0.346,0.123,0.144,0.005,0.617,2026-03-30 17:23:01 UTC
27819,-0.011,6.955,"Castillo, Ricky",0.024,0.138,0.273,0.181,0.616,2026-03-30 17:23:01 UTC
17780,-0.007,10.212,"Pendrith, Taylor",0.171,0.076,0.484,-0.121,0.611,2026-03-30 17:23:01 UTC
27364,0.03,3.289,"Thompson, Davis",0.317,0.07,0.391,-0.168,0.61,2026-03-30 17:23:01 UTC
19421,-0.021,9.919,"Du Plessis, Hennie",0.337,-0.121,0.482,-0.099,0.599,2026-03-30 17:23:01 UTC
14424,-0.052,16.672,"Burmester, Dean",-0.018,0.002,0.552,0.062,0.598,2026-03-30 17:23:01 UTC
19428,0.001,4.063,"Zalatoris, Will",0.504,0.03,0.249,-0.188,0.595,2026-03-30 17:23:01 UTC
17064,-0.035,8.822,"Herbert, Lucas",0.129,0.056,0.33,0.068,0.583,2026-03-30 17:23:01 UTC
13412,0.003,1.834,"Olesen, Thorbjorn",0.353,0.04,0.2,-0.018,0.575,2026-03-30 17:23:01 UTC
14735,-0.026,5.161,"Ortiz, Carlos",0.376,0.213,0.113,-0.131,0.571,2026-03-30 17:23:01 UTC
23504,0.033,6.103,"Hoey, Rico",0.438,-0.147,0.643,-0.364,0.57,2026-03-30 17:23:01 UTC
26947,0.034,-3.631,"Jarvis, Casey",0.299,-0.143,0.251,0.149,0.556,2026-03-30 17:23:01 UTC
18103,0.04,-12.047,"Bezuidenhout, Christiaan",0.165,0.284,-0.294,0.396,0.551,2026-03-30 17:23:01 UTC
28635,0.031,-3.628,"McCarty, Matt",0.096,-0.002,0.124,0.33,0.548,2026-03-30 17:23:01 UTC
18554,0.103,-11.302,"Rai, Aaron",0.452,0.112,0.156,-0.19,0.53,2026-03-30 17:23:01 UTC
