am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour,last_updated
0,FIN,121,23816,0.213699733772664,57,"Valimaki, Sami",PGA,2026-03-30 11:59:12 UTC
0,USA,122,22985,0.195473206718023,90,"Smotherman, Austin",KFT,2026-03-30 11:59:12 UTC
0,USA,123,29770,0.195089943095866,121,"Mouw, William",PGA,2026-03-30 11:59:12 UTC
0,ENG,124,20706,0.193201741265243,96,"Wallace, Matt",PGA,2026-03-30 11:59:12 UTC
0,USA,125,25036,0.190225498263497,110,"Holt, Ian",KFT,2026-03-30 11:59:12 UTC
0,ESP,126,14016,0.186343859427913,155,"Campillo, Jorge",EURO,2026-03-30 11:59:12 UTC
0,CAN,127,15556,0.177942940614177,118,"Hughes, Mackenzie",PGA,2026-03-30 11:59:12 UTC
0,RSA,128,7672,0.172137838121654,332,"Oosthuizen, Louis",LIV,2026-03-30 11:59:12 UTC
0,USA,129,25157,0.16591700129463,132,"Hodges, Lee",PGA,2026-03-30 11:59:12 UTC
0,USA,130,6892,0.148402340404698,501,"Howell III, Charles",LIV,2026-03-30 11:59:12 UTC
0,USA,131,18424,0.145309520893127,140,"Roy, Kevin",PGA,2026-03-30 11:59:12 UTC
0,ESP,132,5689,0.142555006220032,342,"Garcia, Sergio",LIV,2026-03-30 11:59:12 UTC
0,USA,133,6169,0.140760415252468,160,"Kuchar, Matt",PGA,2026-03-30 11:59:12 UTC
0,USA,134,24550,0.137405242444327,184,"Ghim, Doug",PGA,2026-03-30 11:59:12 UTC
0,ENG,135,15326,0.117713340244322,103,"Sullivan, Andy",EURO,2026-03-30 11:59:12 UTC
0,ESP,136,28473,0.109574970363655,183,"Ballester, Jose Luis",LIV,2026-03-30 11:59:12 UTC
0,USA,137,14509,0.0934339486798382,175,"Dahmen, Joel",PGA,2026-03-30 11:59:12 UTC
0,USA,138,24956,0.0921889187136581,112,"Blanchet, Chandler",KFT,2026-03-30 11:59:12 UTC
0,SCO,139,21646,0.0813011814674656,172,"Ferguson, Ewen",EURO,2026-03-30 11:59:12 UTC
0,ENG,140,20766,0.0784567639389661,85,"Brown, Dan",EURO,2026-03-30 11:59:12 UTC
0,USA,141,11276,0.0783877021769745,94,"Horschel, Billy",PGA,2026-03-30 11:59:12 UTC
0,USA,142,15980,0.0584064138281686,88,"Lipsky, David",PGA,2026-03-30 11:59:12 UTC
0,ZIM,143,14559,0.0567039100169102,192,"Vincent, Scott",LIV,2026-03-30 11:59:12 UTC
0,FRA,144,20730,0.0524912500079524,189,"Perez, Victor",PGA,2026-03-30 11:59:12 UTC
0,USA,145,26653,0.0512546111371523,174,"Eckroat, Austin",PGA,2026-03-30 11:59:12 UTC
0,ESP,146,26745,0.0483136809716249,123,"Chacarra, Eugenio",EURO,2026-03-30 11:59:12 UTC
0,USA,147,15470,0.0464446644059805,159,"Hossler, Beau",PGA,2026-03-30 11:59:12 UTC
0,JPN,148,19729,0.0358182391632923,126,"Kanaya, Takumi",PGA,2026-03-30 11:59:12 UTC
0,GER,149,20722,0.0356875049909688,87,"Schmid, Matti",PGA,2026-03-30 11:59:12 UTC
0,USA,150,21944,0.032398330431548,147,"Moore, Taylor",PGA,2026-03-30 11:59:12 UTC
0,USA,151,26657,0.0271034724887578,137,"Fisk, Steven",PGA,2026-03-30 11:59:12 UTC
0,NOR,152,15651,0.0260753344876988,239,"Ventura, Kris",PGA,2026-03-30 11:59:12 UTC
0,CAN,153,12413,0.0257895614591613,162,"Lee, Richard",LIV,2026-03-30 11:59:12 UTC
0,USA,154,15120,0.0162190271089981,284,"Johnson, Michael",KFT,2026-03-30 11:59:12 UTC
0,USA,155,7399,0.0158110050589332,93,"Glover, Lucas",PGA,2026-03-30 11:59:12 UTC
0,USA,156,12422,0.0114845465225721,501,"Johnson, Dustin",LIV,2026-03-30 11:59:12 UTC
0,USA,157,6986,0.0114071333389689,314,"Johnson, Zach",PGA,2026-03-30 11:59:12 UTC
0,USA,158,32152,0.0106314491521013,173,"Brown, Blades",KFT,2026-03-30 11:59:12 UTC
0,RSA,159,7398,-0.0042859335029959,501,"Schwartzel, Charl",LIV,2026-03-30 11:59:12 UTC
0,FRA,160,10201,-0.0077120831235396,153,"Guerrier, Julien",EURO,2026-03-30 11:59:12 UTC
0,TPE,161,17881,-0.0162326474447404,117,"Yu, Kevin",PGA,2026-03-30 11:59:12 UTC
0,USA,162,16395,-0.0166746825229665,272,"Kohles, Ben",PGA,2026-03-30 11:59:12 UTC
0,USA,163,25442,-0.0178201362447269,170,"Montgomery, Taylor",PGA,2026-03-30 11:59:12 UTC
0,SCO,164,25131,-0.0209007281123159,130,"Hill, Calum",EURO,2026-03-30 11:59:12 UTC
0,KOR,165,14459,-0.0266266273836474,134,"An, Byeong Hun",PGA,2026-03-30 11:59:12 UTC
0,CHN,166,26193,-0.0462793243112831,169,"Ding, Wenyi",EURO,2026-03-30 11:59:12 UTC
0,USA,167,17639,-0.0523416227227028,246,"Blair, Zac",PGA,2026-03-30 11:59:12 UTC
0,KOR,168,21688,-0.060391714947798,141,"Kim, S.H.",PGA,2026-03-30 11:59:12 UTC
0,USA,169,11049,-0.0683189956869707,416,"Simpson, Webb",PGA,2026-03-30 11:59:12 UTC
0,DEN,170,25611,-0.0693969110778184,135,"Olesen, Jacob Skov",EURO,2026-03-30 11:59:12 UTC
0,ENG,171,17813,-0.0771958130637458,166,"Armitage, Marcus",EURO,2026-03-30 11:59:12 UTC
0,USA,172,14013,-0.0822746701588446,501,"Tringale, Cameron",LIV,2026-03-30 11:59:12 UTC
0,USA,173,19846,-0.0876822833948556,176,"Bauchou, Zach",PGA,2026-03-30 11:59:12 UTC
0,ENG,174,7108,-0.0954796015419148,501,"Casey, Paul",LIV,2026-03-30 11:59:12 UTC
0,ARG,175,12808,-0.100424096061554,109,"Grillo, Emiliano",PGA,2026-03-30 11:59:12 UTC
0,FRA,176,14792,-0.100497574659719,95,"Saddier, Adrien",EURO,2026-03-30 11:59:12 UTC
0,USA,177,31343,-0.102948606268123,267,"Ford, David",PGA,2026-03-30 11:59:12 UTC
0,FRA,178,19960,-0.104037699440346,224,"Pavon, Matthieu",PGA,2026-03-30 11:59:12 UTC
0,USA,179,30463,-0.104905191736246,240,"Surratt, Caleb",LIV,2026-03-30 11:59:12 UTC
0,USA,180,5665,-0.106101984719235,501,"Cink, Stewart",CHAMP,2026-03-30 11:59:12 UTC
0,USA,181,29347,-0.107916517738866,287,"Dossey, Cooper",KFT,2026-03-30 11:59:12 UTC
0,USA,182,11357,-0.109688691830134,143,"Uihlein, Peter",LIV,2026-03-30 11:59:12 UTC
0,VEN,183,13508,-0.111743765448575,101,"Vegas, Jhonattan",PGA,2026-03-30 11:59:12 UTC
0,USA,184,26953,-0.119432115627013,288,"Gilligan, Ian",KFT,2026-03-30 11:59:12 UTC
0,ENG,185,29971,-0.120133075965149,128,"Bradbury, Dan",EURO,2026-03-30 11:59:12 UTC
0,ITA,186,7655,-0.120870858232887,253,"Molinari, Francesco",EURO,2026-03-30 11:59:12 UTC
0,AUS,187,24200,-0.124012556009319,82,"Smylie, Elvis",EURO,2026-03-30 11:59:12 UTC
0,USA,188,25002,-0.13950421930787,331,"Wu, Dylan",PGA,2026-03-30 11:59:12 UTC
0,FRA,189,20727,-0.143969065478357,207,"Coussaud, Ugo",EURO,2026-03-30 11:59:12 UTC
0,USA,190,7334,-0.145850387200297,501,"Watson, Bubba",LIV,2026-03-30 11:59:12 UTC
0,FRA,191,27811,-0.145875110475766,138,"Couvra, Martin",EURO,2026-03-30 11:59:12 UTC
0,ITA,192,14987,-0.155476263817432,179,"Laporta, Francesco",EURO,2026-03-30 11:59:12 UTC
0,FRA,193,18770,-0.155950914707042,180,"Rozner, Antoine",EURO,2026-03-30 11:59:12 UTC
0,USA,194,11082,-0.161205120497354,320,"Burgoon, Bronson",KFT,2026-03-30 11:59:12 UTC
1,USA,195,29827,-0.173338095414445,501,"James, Ben",AM,2026-03-30 11:59:12 UTC
0,RSA,196,24342,-0.183865060181397,83,"Higgo, Garrick",PGA,2026-03-30 11:59:12 UTC
0,USA,197,12337,-0.19146282760196,501,"Kokrak, Jason",LIV,2026-03-30 11:59:12 UTC
1,USA,198,32064,-0.201398975382658,501,"Russell, Miles",AM,2026-03-30 11:59:12 UTC
0,USA,199,23656,-0.20433490603207,163,"Young, Carson",PGA,2026-03-30 11:59:12 UTC
0,ENG,200,6516,-0.204816900989995,501,"Bland, Richard",LIV,2026-03-30 11:59:12 UTC
0,ENG,201,25601,-0.206991474180184,219,"Jordan, Matthew",EURO,2026-03-30 11:59:12 UTC
0,RSA,202,18105,-0.20781402781957,100,"Lawrence, Thriston",EURO,2026-03-30 11:59:12 UTC
0,SWE,203,26850,-0.20796763448137,181,"Svensson, Jesper",PGA,2026-03-30 11:59:12 UTC
0,USA,204,21943,-0.210396032269554,206,"Lebioda, Hank",KFT,2026-03-30 11:59:12 UTC
0,USA,205,16715,-0.219286043967016,230,"Ryder, Sam",PGA,2026-03-30 11:59:12 UTC
0,KOR,206,11117,-0.231047871353792,339,"Noh, S.Y.",KFT,2026-03-30 11:59:12 UTC
0,JPN,207,28268,-0.233382967320519,194,"Kaneko, Kota",EURO,2026-03-30 11:59:12 UTC
0,ARG,208,16786,-0.241975610324955,249,"Fernandez Valdes, Jorge",KFT,2026-03-30 11:59:12 UTC
0,USA,209,26913,-0.245036423304313,276,"Phillips, Trent",KFT,2026-03-30 11:59:12 UTC
0,RSA,210,27900,-0.245158973036039,77,"Potgieter, Aldrich",PGA,2026-03-30 11:59:12 UTC
0,IND,211,12669,-0.254074269694982,501,"Lahiri, Anirban",LIV,2026-03-30 11:59:12 UTC
0,JPN,212,21074,-0.254989712889443,122,"Nakajima, Keita",EURO,2026-03-30 11:59:12 UTC
0,USA,213,27820,-0.256043964211727,229,"Pak, John",KFT,2026-03-30 11:59:12 UTC
0,AUS,214,24304,-0.25762203314927,146,"Vilips, Karl",PGA,2026-03-30 11:59:12 UTC
0,USA,215,8820,-0.258068571917893,276,"Snedeker, Brandt",PGA,2026-03-30 11:59:12 UTC
0,ESP,216,12988,-0.264980254027201,127,"Elvira Mijares, Ignacio",EURO,2026-03-30 11:59:12 UTC
1,USA,217,32089,-0.284255969849975,501,"Stout, Preston",AM,2026-03-30 11:59:12 UTC
0,USA,218,25319,-0.285098510880679,266,"VanDerLaan, John",KFT,2026-03-30 11:59:12 UTC
0,USA,219,15330,-0.28619486196808,216,"Griffin, Lanto",PGA,2026-03-30 11:59:12 UTC
0,JPN,220,19681,-0.288915436172712,285,"Semikawa, Taiga",JPN,2026-03-30 11:59:12 UTC
0,GER,221,22736,-0.289017174048339,327,"Rosenmueller, Thomas",PGA,2026-03-30 11:59:12 UTC
0,USA,222,25094,-0.294045581750399,168,"Fishburn, Patrick",PGA,2026-03-30 11:59:12 UTC
0,USA,223,14698,-0.29570572693627,322,"Bramlett, Joseph",KFT,2026-03-30 11:59:12 UTC
0,USA,224,29324,-0.301641422368375,151,"Lamb, Davis",KFT,2026-03-30 11:59:12 UTC
0,SCO,225,16475,-0.309489259732635,171,"Forrest, Grant",EURO,2026-03-30 11:59:12 UTC
0,CAN,226,21883,-0.31009148671231,233,"Ewart, A.J.",PGA,2026-03-30 11:59:12 UTC
0,USA,227,16333,-0.31789657139542,149,"Hubbard, Mark",PGA,2026-03-30 11:59:12 UTC
0,USA,228,15575,-0.3197055617683,106,"Hoge, Tom",PGA,2026-03-30 11:59:12 UTC
0,ITA,229,12177,-0.321020920811518,280,"Pavan, Andrea",EURO,2026-03-30 11:59:12 UTC
0,ENG,230,14795,-0.322384241481339,98,"Canter, Laurie",EURO,2026-03-30 11:59:12 UTC
0,USA,231,27780,-0.336795113963471,212,"Crowe, Trace",KFT,2026-03-30 11:59:12 UTC
0,USA,232,23482,-0.342121369826733,297,"Sigg, Greyson",PGA,2026-03-30 11:59:12 UTC
0,USA,233,32312,-0.347981777562167,348,"Sherwood, Cole",KFT,2026-03-30 11:59:12 UTC
0,USA,234,24481,-0.351450796095183,203,"Redman, Doc",KFT,2026-03-30 11:59:12 UTC
0,MEX,235,28016,-0.352850058232793,187,"Gonzalez, Emilio",KFT,2026-03-30 11:59:12 UTC
0,SWE,236,20084,-0.353465814209741,261,"Lindberg, Mikael",EURO,2026-03-30 11:59:12 UTC
0,CAN,237,13997,-0.363038209457795,377,"Svensson, Adam",PGA,2026-03-30 11:59:12 UTC
0,FRA,238,23733,-0.364985908195611,214,"LaCroix, Frederic",EURO,2026-03-30 11:59:12 UTC
0,SWE,239,25475,-0.367060691509827,227,"Nyholm, Pontus",KFT,2026-03-30 11:59:12 UTC
0,USA,240,15004,-0.367971292176478,278,"Kim, Chan",PGA,2026-03-30 11:59:12 UTC
0,CAN,241,13965,-0.378820180492652,236,"Hadwin, Adam",PGA,2026-03-30 11:59:12 UTC
0,USA,242,21995,-0.379863716567423,238,"Springer, Hayden",PGA,2026-03-30 11:59:12 UTC
0,USA,243,24962,-0.38045956613581,186,"Docherty, Alistair",KFT,2026-03-30 11:59:12 UTC
0,ENG,244,18027,-0.382946842891244,268,"Kimsey, Nathan",EURO,2026-03-30 11:59:12 UTC
0,ENG,245,10873,-0.387546372427995,247,"Skinns, David",PGA,2026-03-30 11:59:12 UTC
0,USA,246,31392,-0.396772288286972,345,"VanArragon, Caleb",KFT,2026-03-30 11:59:12 UTC
0,JPN,247,14904,-0.40007900150698,358,"Kinoshita, Ryosuke",JPN,2026-03-30 11:59:12 UTC
0,USA,248,29279,-0.403023970572572,198,"Suber, Jackson",PGA,2026-03-30 11:59:12 UTC
0,ITA,249,11460,-0.406867422001887,243,"Manassero, Matteo",EURO,2026-03-30 11:59:12 UTC
0,USA,250,28471,-0.415377617404884,397,"Shore, Davis",KFT,2026-03-30 11:59:12 UTC
0,USA,251,30620,-0.425359859539774,262,"Chatfield, Davis",KFT,2026-03-30 11:59:12 UTC
0,USA,252,32055,-0.425621386010642,152,"Shipley, Neal",KFT,2026-03-30 11:59:12 UTC
0,USA,253,16602,-0.442011468977387,501,"Varner III, Harold",LIV,2026-03-30 11:59:12 UTC
0,USA,254,21880,-0.447725139512492,279,"Cone, Trevor",PGA,2026-03-30 11:59:12 UTC
0,RSA,255,18174,-0.452786591800339,148,"Ritchie, JC",EURO,2026-03-30 11:59:12 UTC
0,ENG,256,22608,-0.458092195420132,226,"Clements, Todd",EURO,2026-03-30 11:59:12 UTC
0,RSA,257,32473,-0.459448613740567,222,"Botha, Barend",KFT,2026-03-30 11:59:12 UTC
0,USA,258,24837,-0.46451150503957,304,"Goodwin, Noah",PGA,2026-03-30 11:59:12 UTC
0,ENG,259,15113,-0.465212132667081,382,"Pepperell, Eddie",EURO,2026-03-30 11:59:12 UTC
0,USA,260,13470,-0.465810335827463,258,"Kizzire, Patton",PGA,2026-03-30 11:59:12 UTC
0,USA,261,20522,-0.469942545899058,205,"Veerman, Johannes",EURO,2026-03-30 11:59:12 UTC
0,USA,262,16341,-0.472604749107603,235,"Peterson, Paul",PGA,2026-03-30 11:59:12 UTC
0,USA,263,25003,-0.476878188296966,215,"Walker, Danny",PGA,2026-03-30 11:59:12 UTC
0,USA,264,11019,-0.483439974934568,501,"Steele, Brendan",LIV,2026-03-30 11:59:12 UTC
0,SCO,265,23708,-0.488310436102249,383,"Scott, Sandy",KFT,2026-03-30 11:59:12 UTC
0,FRA,266,18933,-0.490402943172409,260,"Gandon, Jeremy",KFT,2026-03-30 11:59:12 UTC
0,NED,267,10158,-0.492087530028579,195,"Luiten, Joost",EURO,2026-03-30 11:59:12 UTC
0,ESP,268,7457,-0.493429763039938,248,"Cabrera Bello, Rafa",EURO,2026-03-30 11:59:12 UTC
0,ENG,269,24497,-0.495179826406409,213,"Robinson Thompson, Brandon",EURO,2026-03-30 11:59:12 UTC
0,USA,270,26126,-0.500030145195852,340,"Meissner, Mitchell",KFT,2026-03-30 11:59:12 UTC
0,USA,271,23540,-0.50873120023882,437,"Andersen, Mason",KFT,2026-03-30 11:59:12 UTC
